s_no,url,level,abp,lbp,aap,lap,include
1,"https://www2.ed.gov/policy/rights/guid/ocr/sexoverview.html#:~:text=Title%20IX%20of%20the%20Education,that%20receive%20federal%20financial%20assistance.",federal,110,5743,310,312,1
2,https://www2.ed.gov/about/offices/list/ocr/docs/tix_dis.html,federal,50,1098,200,209,1
3,https://www.justice.gov/crt/title-ix#1.%C2%A0%20Selection%20of%20Targets%20and%20Scope%20of%20Compliance%20Review,federal,200,2672,530,549,1
4,https://www.hhs.gov/civil-rights/for-individuals/sex-discrimination/title-ix-education-amendments/index.html,federal,110,7479,630,448,1
5,https://www2.ed.gov/about/offices/list/ocr/sexoverview.html,federal,110,6050,290,351,1
6,https://www.uscourts.gov/educational-resources/educational-activities/14th-amendment-and-evolution-title-ix,federal,120,7006,760,125,1
7,https://sites.ed.gov/titleix/policy/,federal,130,5058,1890,93,1
8,https://www.cde.ca.gov/re/di/eo/genequitytitleix.asp,calstate,110,30325,400,620,1
9,https://www.cde.ca.gov/re/di/eo/sb1375crnt.asp,calstate,30,1978,80,540,1
10,https://www.pcoe.k12.ca.us/apps/pages/TitleIX,calstate,40,1417,140,130,1
11,https://www.cwlc.org/learn/gender-discrimination-education/,calstate,100,3,160,2,0
12,https://www.twc.texas.gov/programs/vocational-rehabilitation/title-ix-coordinator,texasstate,50,6597,180,293,1
13,https://reportcenter.highered.texas.gov/Training-materials/FAQ-title-ix-mandatory-reporting/,texasstate,100,2747,130,4,0
14,https://www.texasattorneygeneral.gov/news/releases/texas-launches-lawsuit-against-bidens-unlawful-title-ix-guidance-forcing-transgender-policies,texasstate,40,467,170,74,1
15,https://www.schools.nyc.gov/about-us/policies/non-discrimination-policy/title-ix,nystate,100,157764,280,1799,1
16,https://www.nysed.gov/sites/default/files/article-129-b-guidance.pdf,nystate,70,20995,210,2742,0
17,https://nysba.org/title-ixs-deliberate-indifference-hurdle/,nystate,100,24234,290,1168,1
18,https://www.nyssba.org/news/2020/06/04/on-board-online-june-8-2020/u.s.-doe-issues-final-title-ix-regulations/,nystate,60,193,320,32,1
19,https://www.schools.utah.gov/educationalequity/titleix,utahstate,40,897,120,250,1
20,https://www.usu.edu/equity/sexual-misconduct/Title-IX-FAQs,utahstate,60,2635,200,605,1
